,ID,Name,Average_User_Rating,User_Rating_Count,Price,Developer,Age_Rating,Primary_Genre,Original_Release_Date,Current_Version_Release_Date,Language_Count,Size2,Genreslist
0,284921427,Sudoku,4.0,3553.0,2.99,Mighty Mighty Good Games,4,Games,2008-07-11,2017-05-30,17,15.9,Strategy
1,284926400,Reversi,3.5,284.0,1.99,Kiss The Machine,4,Games,2008-07-11,2018-05-17,1,12.3,Strategy
2,284946595,Morocco,3.0,8376.0,0.0,Bayou Games,4,Games,2008-07-11,2017-09-05,1,0.7,Strategy
3,285755462,Sudoku Free,3.5,190394.0,0.0,Mighty Mighty Good Games,4,Games,2008-07-23,2017-05-30,17,21.6,Strategy
4,285831220,Senet Deluxe,3.5,28.0,2.99,RoGame Software,4,Games,2008-07-18,2018-07-22,15,34.7,Strategy
5,286210009,Sudoku  Classic number puzzle,3.0,47.0,0.0,OutOfTheBit Ltd,4,Games,2008-07-30,2019-04-29,1,48.7,Entertainment
6,286313771,Gravitation,2.5,35.0,0.0,Robert Farnum,4,Games,2008-07-30,2013-11-14,1,6.3,Entertainment
7,286363959,Colony,2.5,125.0,0.99,Chris Haynes,4,Games,2008-08-03,2018-10-03,1,64.3,Strategy
8,286566987,Carte,2.5,44.0,0.0,JeanFrancois Pautex,4,Games,2008-08-03,2017-11-23,1,2.7,Strategy
9,286682679,Barrels O Fun,2.5,184.0,0.0,BesqWare,4,Games,2008-08-01,2008-08-01,1,1.5,Casual
10,287563734,Quaddraxx,4.5,47.0,0.0,H2F Informationssysteme GmbH,4,Games,2008-08-11,2008-09-30,1,3.1,Entertainment
11,288096268,Lumen Lite,3.5,5072.0,0.0,Bridger Maxwell,4,Games,2008-08-18,2008-11-22,1,7.1,Puzzle
12,288669794,BubblePop,3.0,526.0,0.0,TMSOFT,4,Games,2008-08-22,2009-07-25,1,0.8,Strategy
13,288689440,Marple,3.5,989.0,0.99,Mikko Kankainen,4,Games,2008-08-28,2019-05-05,1,3.6,Puzzle
14,288918962,Tetravex Lite,2.5,2358.0,0.0,Futrell Software,4,Games,2008-08-27,2008-10-21,1,0.7,Puzzle
15,289217958,AweleOware  Mancala HD,3.0,112.0,0.0,SOLILAB,4,Games,2008-08-31,2015-04-06,5,122.8,Strategy
17,289382458,Chess Game,3.0,504.0,0.0,Memention Holding AB,4,Games,2008-09-02,2009-10-07,1,0.4,Strategy
18,290493286,Catcha Mouse,3.5,95971.0,0.0,Meme Inc,4,Games,2009-02-19,2013-04-26,1,26.8,Puzzle
19,290614255,Cool Sudoku Jigsaw Killer,3.5,357.0,0.0,Splash Software Ltd,4,Games,2008-09-24,2019-04-26,1,52.2,Strategy
20,291074572,Mind the Corners,3.0,7.0,0.99,Zentropy Software,4,Games,2008-09-19,2016-10-26,1,1.5,Strategy
21,291723451,All You Can Eat,2.0,30.0,0.99,Armin Heinrich,9,Entertainment,2008-09-24,2019-03-16,1,4.3,Entertainment
22,291894818,Ane Rouge,4.5,47.0,0.0,JeanFrancois Pautex,4,Games,2008-09-27,2017-03-08,2,1.2,Puzzle
23,291929815,Neiscat,4.5,47.0,0.99,Frederic Bronner,4,Games,2008-09-29,2018-12-23,2,8.8,Entertainment
24,292242592,Boomshine,4.0,637.0,0.99,TwoDesk Software Company,4,Games,2008-10-07,2017-05-20,1,22.9,Puzzle
25,292274288,Gaia Lite,3.5,1563.0,0.0,Quicksand Interactive,4,Games,2008-10-02,2008-10-02,1,6.6,Strategy
26,292421271,Fieldrunners,4.0,41869.0,2.99,Subatomic Studios LLC,9,Games,2008-10-05,2018-04-11,1,75.0,Entertainment
27,292538570,Lux Touch 3  World Domination,3.5,72428.0,0.0,Sillysoft Games,9,Games,2008-10-07,2019-01-23,1,55.1,Entertainment
28,292975610,Dont Square,2.5,190.0,0.99,Solid Apps GmbH,4,Games,2008-10-12,2019-05-22,8,4.4,Entertainment
29,294166538,Smart Rummy,2.5,69.0,2.99,Pramod Shankar,4,Games,2008-11-04,2016-12-05,1,44.3,Strategy
30,294193726,Expert Sudoku,4.0,523.0,2.99,Mighty Mighty Good Games,4,Games,2008-10-21,2017-05-30,17,9.5,Strategy
31,294596096,Edgewise,3.5,23.0,0.0,Greggy Bits Software,4,Games,2008-10-25,2015-06-26,1,1.3,Strategy
32,294631172,Chess Genius,4.0,156.0,5.99,Lang Software Limited,4,Games,2008-11-08,2016-08-05,5,1.8,Strategy
33,295445501,Chess  tChess Pro,4.0,3062.0,7.99,Tom Kerrigan,4,Games,2008-11-05,2019-04-07,6,7.5,Entertainment
34,295462558,Toobz,3.5,2425.0,0.99,Jason Haslup,4,Games,2008-11-05,2014-09-13,1,9.6,Strategy
35,296183853,Color Sudoku,3.5,518.0,2.99,Mighty Mighty Good Games,4,Games,2008-11-14,2017-05-30,17,15.8,Puzzle
36,296756437,Chess  tChess Lite,3.5,5488.0,0.99,Tom Kerrigan,4,Games,2008-11-15,2019-04-07,6,5.9,Strategy
37,296853351,Checkers Online Lite,2.5,3521.0,0.0,EUROCENTER,4,Games,2008-11-29,2008-11-29,1,9.4,Strategy
38,297558390,TapDefense,3.5,273687.0,0.0,TapJoy,9,Games,2008-11-24,2012-12-05,1,7.8,Strategy
39,297643414,Chinese Chess Xiangqi,3.0,67.0,0.99,Easy 8 Software,4,Games,2008-11-24,2014-12-30,1,12.4,Strategy
40,298748403,Warfare Incorporated,3.5,5931.0,0.0,Spiffcode Inc,9,Games,2008-12-04,2019-06-20,1,7.7,Strategy
41,298908505,Strategery,4.0,2798.0,1.99,Affogato LLC,4,Games,2008-12-09,2017-06-17,1,15.5,Strategy
42,299139129,5x5 Shogi MiniShogi K55,4.0,16.0,2.99,Yoshikazu Kakinoki,4,Games,2008-12-11,2015-09-25,2,3.9,Strategy
43,299471086,Deep Green Chess,4.0,483.0,7.99,Cocoa Stuff,4,Games,2008-12-09,2016-01-28,1,99.0,Strategy
44,299631906,Jewel Lines,3.0,75.0,2.99,Software River Solutions Inc,4,Games,2008-12-13,2017-08-29,1,5.7,Entertainment
45,299813413,Lux DLX 3  Map Conquest Game,4.0,5629.0,4.99,Sillysoft Games,9,Games,2008-12-19,2019-03-26,11,94.0,Strategy
46,299878026,ChartFight SP,3.0,2482.0,0.99,Mutant Piano Software,4,Games,2008-12-17,2017-10-16,2,14.9,Strategy
47,300025550,Robo Logic,3.5,77.0,0.99,digitalsirup GmbH,4,Games,2008-12-15,2009-09-11,4,5.0,Puzzle
48,300893278,RoboLogic Lite,3.0,1461.0,0.0,digitalsirup GmbH,4,Games,2009-01-03,2009-08-28,2,2.6,Strategy
49,301163765,Kakinoki Shogi Japanese Chess,4.0,75.0,4.99,Yoshikazu Kakinoki,4,Games,2009-01-19,2015-09-24,2,18.4,Strategy
50,301418753,Kings Corners Free,2.5,1741.0,0.0,Ilium Software Inc,4,Games,2009-01-22,2011-08-22,1,2.3,Entertainment
51,301733979,Flip Ninja,2.5,6.0,0.0,Audacity Software Pte Ltd,4,Games,2009-01-16,2009-01-16,1,1.1,Strategy
52,301746785,Gun Runner Wars,3.0,740.0,0.99,CUBIC digital,9,Games,2009-02-04,2016-07-09,1,15.5,Finance
53,302312895,Word Zapper,3.0,89.0,0.99,NTP,4,Games,2009-01-22,2018-10-07,1,16.8,Strategy
54,302331458,Antivirus,3.0,187.0,0.0,DeadRatGames,9,Games,2009-02-03,2015-07-09,1,25.6,Entertainment
55,302510211,Arcs,4.0,413.0,2.99,Pomegranate Apps LLC,4,Games,2009-01-21,2018-05-10,1,5.1,Puzzle
56,302532668,Shogi Kifu,4.5,47.0,3.99,Yoshikazu Kakinoki,4,Games,2011-07-14,2018-10-13,2,29.8,Strategy
58,303188552,Strategery Lite,3.5,9121.0,0.0,Affogato LLC,4,Games,2009-02-05,2010-06-30,1,5.4,Entertainment
59,303337299,Wedding Dash Deluxe,4.5,17056.0,0.99,Glu Games Inc,4,Games,2009-01-28,2014-07-02,1,55.8,Strategy
60,303401746,Agency Wars Lite,2.5,17045.0,0.0,MindJolt,4,Games,2009-03-14,2009-05-06,1,7.5,Entertainment
61,303475501,Touch Physics Lite,3.5,42210.0,0.0,Gamez 4 Touch,4,Games,2009-02-01,2011-01-12,1,16.6,Puzzle
